Province,Mean_Bawang_Putih_Bonggol,Mean_Cabai_Merah_Keriting,Mean_Daging_Ayam_Ras,Mean_Daging_Sapi_Murni,Mean_Tepung_Terigu_Curah,Mean_bawang_merah,Mean_beras_medium,Mean_beras_premium,Mean_gula,Mean_telur_ayam,Std_Bawang_Putih_Bonggol,Std_Cabai_Merah_Keriting,Std_Daging_Ayam_Ras,Std_Daging_Sapi_Murni,Std_Tepung_Terigu_Curah,Std_bawang_merah,Std_beras_medium,Std_beras_premium,Std_gula,Std_telur_ayam,CV_Bawang_Putih_Bonggol,CV_Cabai_Merah_Keriting,CV_Daging_Ayam_Ras,CV_Daging_Sapi_Murni,CV_Tepung_Terigu_Curah,CV_bawang_merah,CV_beras_medium,CV_beras_premium,CV_gula,CV_telur_ayam,Min_Bawang_Putih_Bonggol,Min_Cabai_Merah_Keriting,Min_Daging_Ayam_Ras,Min_Daging_Sapi_Murni,Min_Tepung_Terigu_Curah,Min_bawang_merah,Min_beras_medium,Min_beras_premium,Min_gula,Min_telur_ayam,Max_Bawang_Putih_Bonggol,Max_Cabai_Merah_Keriting,Max_Daging_Ayam_Ras,Max_Daging_Sapi_Murni,Max_Tepung_Terigu_Curah,Max_bawang_merah,Max_beras_medium,Max_beras_premium,Max_gula,Max_telur_ayam
Aceh,-0.3943631805738865,-0.5560065572061369,-1.2779483813737174,1.3840061790296865,0.016638020455987196,-0.25743793040949076,-0.4149412228056829,-0.8145709332893292,0.13934566983272517,-1.3290706848353029,0.42650942701986355,1.1899107053823434,-1.0234475132189558,-0.6794865514529534,-0.34971839695164725,0.3766682279480696,-0.6831702170298692,-1.0178052628011278,0.3949759028623462,-0.7862666724927925,0.5277679474976164,1.2621979048272753,-0.46323914865382315,-0.858843276047502,-0.3964521695082937,0.358697161711324,-0.525338861680365,-0.5864569865539999,0.31707479189523136,-0.16527511397656655,-0.39258470356702624,-0.9833396417527456,-0.8673371433565947,2.010403050698322,0.07107588356551066,-0.2306926922933063,0.014719207521642535,-0.4266326272526966,0.05772206724249836,-0.9440045095222925,-0.7533352932872661,0.3558901378545952,-1.7661823780070647,0.7856403946785323,-0.3540664398108623,-0.40675954486910654,-1.4674673878547477,-1.9296150579724574,0.13141271828312512,-1.114344733706888
Bali,-1.2128142364068422,-0.9555689106975395,0.2986060670433463,-1.8198554341894484,0.44783260245731377,-1.2499494120149666,-0.10054315256385214,-0.4946897704169281,-1.0595864623584825,-0.9528973200084425,1.1572219546515135,-0.3844313616270477,-0.6259571323685319,-0.6641820025870105,0.20258642881406771,-0.810125620940484,0.7435435276683422,0.8644785179460877,0.3422261344376411,0.03778076296953224,2.0083379822567173,0.17535398426920792,-0.679720294703669,-0.46020633443971687,0.08780484798420689,0.5018013004929776,0.6343956281130759,0.8569282252887022,1.0016633916179472,0.6517225925689897,-1.3374596911586967,-0.9898685689103554,0.5125018794318662,-1.6898793434634634,0.3847665619940587,-1.3145233144553108,-0.5338543343426273,-0.8427443693844153,-1.0239985629712598,-0.7582249363170201,-0.3350528074960362,-1.013608447261048,-0.2838741535549593,-1.7009585732457964,0.08792571135490092,-1.1517578584100814,0.2739428550123749,-0.19059713625884597,-1.0251354970493418,-0.511662133759507
Banten,-0.5773448088265857,-0.09834768827264202,-0.06132306680304389,-0.02144670367430985,-0.6914596296346395,-0.3282860405916756,-0.9814496309382682,-0.9465632894085355,-0.8606798346381752,-0.5858042127688367,0.0017882985336613786,1.1149269069002135,-0.8394667216919743,0.25757990310945317,-1.9864961887392096,0.9016710631258007,0.486321540836456,0.7775025130305072,0.32181844852001373,0.48307498428188445,0.4074602377866982,0.8131559669622802,-0.7376699591624103,0.3293545310237102,-2.158075724542039,0.8068004254573503,0.7278727651483642,1.0122010055907755,0.8512189583472524,0.9398874629461552,-0.9177405443100363,-0.316300917150281,0.3460696831348008,-0.3065430022614419,0.5590391611210298,-0.29218662830249803,-1.120924265109653,-0.8062433393728611,-0.6685760701867391,-0.9904494028236107,-0.3834256119752941,1.2538743559993883,-0.4064710743743064,0.13827286363525515,-0.7880223700463389,0.13319336127526965,-0.07433919356104964,-0.3956700043854511,-0.402378765716475,-0.5433822705988428
Bengkulu,-0.4730988880127182,-0.483354054444231,-0.3745303964301246,-0.24817783650905573,-0.00013406669375760742,-0.2540631221838759,-0.5551869980179758,-0.5936707725582098,-0.5073962343639152,-1.073554682190593,0.5607347942908798,1.369901439532542,2.5574441951596905,0.18923950792789995,0.44846715583543545,0.37491282655550423,0.6689599569759496,0.8112617437217654,-0.32132197456692835,-0.6092220124269263,0.6983016069048834,1.34943965359284,2.22123563217734,0.29841015480030114,0.5292357704283054,0.35418583030810075,0.7335311844270893,0.8613111524933956,-0.05495997976177828,-0.09855664499665039,-0.4594964516153634,-0.8288216990226477,-0.8170204328481796,-0.4061659897965669,-0.5563054732915864,-0.590432217947078,-0.6493435010508947,-0.7843427213659285,-0.37496618484300487,-1.001377613012156,-0.027743226098397904,-0.00010684183063832272,0.47585524970432774,1.9271479251627413e-05,-0.177269579344557,-0.35208076956334694,-0.8604615317696365,-0.8140186553637255,-0.402378765716475,-1.276910435008484
DI Yogyakarta,-1.081269893919354,-1.0564340428328776,-0.5197467405022315,-0.0712223633722182,-1.125827467148967,-0.8270548187695845,-0.880889038380121,-0.984921437861125,-1.2527897498482232,-0.7574547117516006,0.3064847081479665,0.44657595856345356,0.4948414735337719,-1.2217217242131515,-0.09418728990388833,0.8755803600612116,1.160109661449529,0.2868596545206194,0.5275480674612446,0.4857401720518089,1.1755041609909087,1.0623286790358646,0.5614344422970631,-1.3226826782203547,0.3210791121519047,1.3751806265617204,1.313258418487431,0.607442375104461,1.3329079839277158,1.0715394773795048,-1.3577359784460716,-1.1563562114294046,-0.4957675888329138,0.5843711434098188,-0.602778166392111,-1.1008318868233695,-1.1786688484637866,-1.0398499314468086,-1.147623777852832,-1.0888032945205195,-1.1559677540999127,-0.5936773161221399,-0.0795459521893809,-0.4337431835315272,-0.8683845793492049,-0.3637976499860097,-0.1141428562551553,-0.6007428725120562,-0.3035284909017342,-0.5711373903332616
DKI Jakarta,0.27805573405618367,0.6035480392533448,0.12296568872132757,0.179092134950956,-0.6423589062088064,0.7480705453743076,-0.6286115936349425,-0.3438285357814115,-0.23322098705336922,-0.3420405704491825,-1.529740326556971,1.1190527732785607,-0.5364467524501155,0.7554802992567501,-1.6160925527139,1.0806471958488548,1.0816098617007415,1.07745017185538,-0.29223707009337685,-0.04705150520761966,-1.280905885191426,0.3431684158105742,-0.5558620533509923,0.8366857028061805,-1.7170479347205865,-0.037442275006525166,1.1356766793008517,0.9580841552238207,-0.18308478951403087,0.13642988270044037,0.6394783193603564,0.4094981518706714,0.22801893924967304,-0.269540178319824,-0.35879652761435143,0.4949357526151563,-0.6300953065995167,-0.1784256231741275,0.7067544453707532,-0.8210621449011565,0.24257538716804322,0.764196877820108,-0.27830156624498903,0.4783373865213491,-0.49068219562573456,0.7844566314349423,-0.15394651894926095,0.46563604174629036,0.9222149168010512,-0.23411093641531838
Gorontalo,0.7268560842451537,-0.9809983719994639,-1.0160868317161358,-0.21324252366275384,-0.18436989229752243,0.25773510025144963,-0.2985593845140522,-0.7052555161786983,0.5958590250322576,0.46974057250292905,0.5799857661158024,-0.5037779560896462,1.4741128142194648,0.0023330378227148572,1.3782312075248937,1.4813563460088006,1.3274667528805282,1.6626321580771304,1.7008975614933963,1.608543999644886,-0.3016322195541022,0.08107404968782787,1.7628082840788672,0.0786083860485652,1.689727553540775,0.6204179626951315,1.2220760565334001,1.6353731030391718,1.3772982903190236,1.4757980912732052,0.91118056901118,-0.7983533722871354,-1.730462254385562,-0.2657450168899145,-1.3579594292756527,-0.32447094470732374,-0.5242302371169384,-0.9011460174029022,0.16589413026387417,0.36738071310315956,1.2356406085363374,-0.6844928721642913,-1.0807541388807151,-0.3066285063833533,0.25668635089091957,1.2794948292924444,1.2292307596709109,0.6461001656977029,1.7426721977633994,0.848338733227017
Jambi,-0.8320758601358946,-0.8073866779267241,-0.7261490448684593,0.0791767609989271,-0.604700603214748,-1.1241780679652156,-1.0619466198780072,-0.43474036794069637,-0.7433147975138614,-0.6033654920891021,0.16777221919800675,0.9874325391958271,1.798729562018507,-0.4809777136497766,0.41629744630340326,-0.71899299805158,-0.6155140311721652,-0.615599070460941,-0.4959530583817334,-1.2178061619294476,0.788440352732981,1.3242462331677032,1.8350854628330995,-0.5099910091999437,0.7363251992968058,0.4295733736456781,-0.27611842959235683,-0.39082349342869244,-0.10303140982826042,-1.1312156304854895,-0.8609669399053865,-0.9985738051205016,-0.7976678518834045,0.3291465372484033,-0.8467598051698706,-0.9501717436008498,-0.5434784315683163,-0.2660280952018578,-0.5913103108857565,-0.09706821991002139,-1.0677585224024424,0.012970598239431481,-0.018247491779707373,-0.11530126036651434,-0.8442759165583451,-1.5989521278750438,-1.855553099122278,-1.1093235854660368,-1.0251354970493418,-0.8982513014889124
Jawa Barat,-0.45366624532568744,-0.1950430919595921,-0.18277313043076368,-0.23605486453673102,-0.8579474313102616,-0.4788573575878307,-0.8699462346871143,-0.8411130741051633,-0.5305330893066296,-0.4568935996248019,-0.5329895651766288,0.42917959807076544,-0.04963374549935981,-0.5559597743155843,-0.2421541324471812,0.1262524586631796,0.4175417495957129,0.22877367616872457,-0.9031127589298333,0.39818014465868146,-0.0828907302613781,0.33482234762078494,-0.05421887276078453,-0.5537113334399317,0.03136834703498397,0.3963778022514028,0.6215572249098991,0.4885671820257416,-0.6611138096422955,0.7446647304696715,-0.2668717223853018,0.08196363946391474,0.0964213886892027,0.04356063964771168,-0.8235234586196079,-0.2091698146900892,-0.5819748204710721,-0.4996346872758051,-0.34405988112261177,-0.7527608312227475,-0.7376852683086828,-0.27110046106041813,-0.15198958721899508,-0.4317774926477925,-0.948746788652071,0.015048150346752628,0.025169963174214514,-0.4530904074609005,-0.8768600848272307,-0.4620994199480447
Jawa Tengah,-0.9919685635921446,-0.9918381082025631,-0.3723396088725488,-0.5528011719645431,-1.0436033325855907,-0.6476073563919358,-0.7087258539726106,-0.802926349597563,-1.3372920139794369,-0.7409176365699659,-0.00943736810940223,0.4533062385728743,-0.18194730350177143,-0.8515262648804659,-0.18315024852451894,0.5911538193530682,0.7813913974935304,0.24576321285961047,0.14875425113513596,0.3534147720120342,0.8304970944246858,1.0053451643875944,-0.08466531774582402,-0.8585732010447421,0.17598267032509193,0.9314126942801496,0.8943183199571632,0.4851334862779556,0.9709208045185344,0.8941105628492654,-1.0069562083744859,-0.7918244451295258,-0.07968709809025024,-0.20312485329640736,-0.8816143249952648,-0.6181044891512143,-1.1882929456894755,-1.112851991469917,-1.0239985629712598,-1.023234033389247,-1.127513163229761,-0.8864666688020362,-0.09069112680932155,-0.7508746461073836,-0.177269579344557,-0.10700268738931794,0.025169963174214514,-0.6581632755875056,-1.2623761566047196,-0.6662978008512691
